timestamp,website_result,website_http,website_time,ai_result,ai_http,ai_time
2026-07-04T19:01:01Z,up,200,0.094359,up,200,0.085140
2026-07-04T19:31:02Z,up,200,0.108189,up,200,0.104603
2026-07-04T20:01:02Z,up,200,0.065791,up,200,0.072722
2026-07-04T20:05:59Z,up,200,0.076203,up,200,0.088924
2026-07-04T20:31:03Z,up,200,0.064563,up,200,0.083196
2026-07-04T21:01:04Z,up,200,0.119614,up,200,0.142576
2026-07-04T21:31:02Z,up,200,0.090541,up,200,0.146869
2026-07-04T21:53:09Z,up,200,0.073371,up,200,0.080711
2026-07-04T22:01:00Z,up,200,0.076428,up,200,0.093753
2026-07-04T22:31:03Z,up,200,0.083045,up,200,0.094779
2026-07-04T22:52:42Z,up,200,0.071488,up,200,0.066074
2026-07-04T23:01:03Z,up,200,0.118853,up,200,0.238543
2026-07-04T23:31:00Z,up,200,0.062282,up,200,0.078602
2026-07-04T23:56:43Z,up,200,0.079730,up,200,0.061410
2026-07-05T00:01:02Z,up,200,0.067087,up,200,0.071279
2026-07-05T00:31:02Z,up,200,0.146784,up,200,0.096045
2026-07-05T01:01:01Z,up,200,0.071577,up,200,0.106811
2026-07-05T01:31:04Z,up,200,0.060391,up,200,0.083154
2026-07-05T02:01:00Z,up,200,0.074711,up,200,0.079644
2026-07-05T02:31:01Z,up,200,0.069800,up,200,0.072724
2026-07-05T02:57:16Z,up,200,0.099008,up,200,0.067839
2026-07-05T03:01:01Z,up,200,0.071065,up,200,0.076167
2026-07-05T03:31:01Z,up,200,0.067960,up,200,0.070887
2026-07-05T04:01:00Z,up,200,0.080950,up,200,0.068064
2026-07-05T04:31:00Z,up,200,0.066022,up,200,0.068960
2026-07-05T05:01:03Z,up,200,0.068089,up,200,0.075783
2026-07-05T05:31:02Z,up,200,0.067248,up,200,0.081659
2026-07-05T06:01:04Z,up,200,0.121876,up,200,0.185184
2026-07-05T06:31:01Z,up,200,0.083384,up,200,0.108460
2026-07-05T06:41:00Z,up,200,0.129454,up,200,0.212919
2026-07-05T07:01:02Z,up,200,0.096405,up,200,0.107326
2026-07-05T07:31:02Z,up,200,0.063981,up,200,0.072194
2026-07-05T08:01:00Z,up,200,0.068028,up,200,0.091781
2026-07-05T08:31:04Z,up,200,0.136300,up,200,0.215813
2026-07-05T09:01:01Z,up,200,0.062647,up,200,0.063973
2026-07-05T09:31:01Z,up,200,0.061177,up,200,0.064664
2026-07-05T09:38:37Z,up,200,0.068920,up,200,0.070182
2026-07-05T10:01:01Z,up,200,0.071602,up,200,0.064687
2026-07-05T10:31:03Z,up,200,0.111079,up,200,0.120038
2026-07-05T11:01:03Z,up,200,0.062081,up,200,0.074288
2026-07-05T11:26:07Z,up,200,0.076542,up,200,0.064333
2026-07-05T11:31:01Z,up,200,0.069358,up,200,0.071289
2026-07-05T12:01:03Z,up,200,0.058985,up,200,0.066076
2026-07-05T12:31:01Z,up,200,0.067221,up,200,0.072512
2026-07-05T13:01:00Z,up,200,0.057171,up,200,0.071717
2026-07-05T13:19:18Z,up,200,0.065183,up,200,0.068136
2026-07-05T13:31:02Z,up,200,0.064495,up,200,0.066764
2026-07-05T14:01:00Z,up,200,0.079491,up,200,0.078528
2026-07-05T14:31:00Z,up,200,0.089505,up,200,0.070332
2026-07-05T15:01:01Z,up,200,0.064211,up,200,0.072614
2026-07-05T15:09:12Z,up,200,0.134668,up,200,0.098300
2026-07-05T15:31:00Z,up,200,0.073969,up,200,0.069059
2026-07-05T16:01:04Z,up,200,0.169083,up,200,0.109087
2026-07-05T16:31:02Z,up,200,0.076652,up,200,0.060533
2026-07-05T17:01:04Z,up,200,0.066857,up,200,0.076891
2026-07-05T17:02:33Z,up,200,0.071280,up,200,0.087501
2026-07-05T17:31:01Z,up,200,0.085234,up,200,0.088051
2026-07-05T18:01:01Z,up,200,0.066631,up,200,0.089244
2026-07-05T18:31:04Z,up,200,0.116132,up,200,0.189153
2026-07-05T19:01:00Z,up,200,0.074518,up,200,0.083848
2026-07-05T19:07:45Z,up,200,0.068266,up,200,0.066763
2026-07-05T19:31:00Z,up,200,0.085071,up,200,0.079937
2026-07-05T20:01:01Z,up,200,0.067562,up,200,0.066043
2026-07-05T20:31:00Z,up,200,0.065686,up,200,0.070041
2026-07-05T20:52:08Z,up,200,0.062991,up,200,0.068029
2026-07-05T21:01:01Z,up,200,0.072985,up,200,0.082703
2026-07-05T21:31:04Z,up,200,0.143010,up,200,0.139396
2026-07-05T21:56:15Z,up,200,0.077844,up,200,0.075007
2026-07-05T22:01:01Z,up,200,0.124463,up,200,0.137990
2026-07-05T22:31:02Z,up,200,0.080704,up,200,0.110045
2026-07-05T22:59:07Z,up,200,0.068585,up,200,0.071781
2026-07-05T23:01:03Z,up,200,0.090280,up,200,0.070253
2026-07-05T23:31:02Z,up,200,0.088289,up,200,0.082817
2026-07-06T00:01:03Z,up,200,0.151885,up,200,0.106509
2026-07-06T00:11:57Z,up,200,0.133549,up,200,0.138341
2026-07-06T00:31:01Z,up,200,0.117305,up,200,0.082558
2026-07-06T01:01:06Z,up,200,0.108097,up,200,0.123534
2026-07-06T01:31:03Z,up,200,0.079264,up,200,0.115507
2026-07-06T02:01:03Z,up,200,0.069557,up,200,0.076664
2026-07-06T02:31:01Z,up,200,0.080014,up,200,0.086521
2026-07-06T03:01:04Z,up,200,0.071683,up,200,0.044441
2026-07-06T03:31:00Z,up,200,0.074240,up,200,0.074837
2026-07-06T04:01:04Z,up,200,0.065432,up,200,0.081852
2026-07-06T04:31:01Z,up,200,0.060978,up,200,0.078914
2026-07-06T05:01:00Z,up,200,0.080074,up,200,0.097887
2026-07-06T05:05:56Z,up,200,0.099829,up,200,0.099442
2026-07-06T05:31:01Z,up,200,0.065038,up,200,0.091329
2026-07-06T06:01:01Z,up,200,0.073691,up,200,0.082080
2026-07-06T06:31:00Z,up,200,0.090717,up,200,0.065838
2026-07-06T07:01:01Z,up,200,0.063787,up,200,0.093344
2026-07-06T07:31:04Z,up,200,0.107611,up,200,0.110991
2026-07-06T08:01:01Z,up,200,0.141115,up,200,0.084696
2026-07-06T08:31:01Z,up,200,0.081648,up,200,0.075954
2026-07-06T09:01:02Z,up,200,0.065284,up,200,0.074381
2026-07-06T09:31:01Z,up,200,0.094576,up,200,0.065797
2026-07-06T10:01:04Z,up,200,0.061977,up,200,0.078917
2026-07-06T10:06:00Z,up,200,0.153936,up,200,0.066946
2026-07-06T10:31:03Z,up,200,0.125050,up,200,0.113217
2026-07-06T11:01:04Z,up,200,0.093348,up,200,0.168335
2026-07-06T11:31:02Z,up,200,0.069042,up,200,0.064453
2026-07-06T12:01:04Z,up,200,0.068831,up,200,0.071483
2026-07-06T12:31:02Z,up,200,0.073575,up,200,0.077569
2026-07-06T13:01:03Z,up,200,0.069587,up,200,0.114824
2026-07-06T13:31:03Z,up,200,0.090753,up,200,0.097235
2026-07-06T14:01:43Z,up,200,0.074683,up,200,0.080130
2026-07-06T14:21:31Z,up,200,0.112526,up,200,0.078688
2026-07-06T14:31:02Z,up,200,0.155739,up,200,0.228476
2026-07-06T15:01:03Z,up,200,0.116961,up,200,0.093361
2026-07-06T15:31:03Z,up,200,0.147006,up,200,0.131745
2026-07-06T16:01:03Z,up,200,0.116658,up,200,0.071804
2026-07-06T16:31:04Z,up,200,0.125778,up,200,0.089160
2026-07-06T17:01:04Z,up,200,0.083771,up,200,0.098658
2026-07-06T17:31:01Z,up,200,0.090873,up,200,0.145534
2026-07-06T17:38:21Z,up,200,0.096534,up,200,0.125953
2026-07-06T18:01:02Z,up,200,0.077891,up,200,0.079087
2026-07-06T18:31:04Z,up,200,0.099959,up,200,0.076366
2026-07-06T19:01:06Z,up,200,0.228761,up,200,0.316714
2026-07-06T19:31:01Z,up,200,0.111040,up,200,0.113043
2026-07-06T19:47:51Z,up,200,0.080149,up,200,0.085521
2026-07-06T20:01:02Z,up,200,0.073212,up,200,0.083686
2026-07-06T20:31:02Z,up,200,0.192984,up,200,0.114920
2026-07-06T21:01:04Z,up,200,0.090074,up,200,0.079120
2026-07-06T21:24:14Z,up,200,0.131121,up,200,0.194323
2026-07-06T21:31:02Z,up,200,0.107567,up,200,0.132392
2026-07-06T22:01:01Z,up,200,0.090093,up,200,0.089601
2026-07-06T22:31:03Z,up,200,0.155109,up,200,0.132787
2026-07-06T23:01:03Z,up,200,0.228309,up,200,0.117063
2026-07-06T23:01:53Z,up,200,0.093055,up,200,0.075247
2026-07-06T23:31:02Z,up,200,0.080159,up,200,0.096693
2026-07-07T00:01:01Z,up,200,0.100517,up,200,0.100848
2026-07-07T00:30:55Z,up,200,0.068953,up,200,0.088843
2026-07-07T01:00:56Z,up,200,0.070429,up,200,0.077977
2026-07-07T01:30:54Z,up,200,0.098904,up,200,0.092081
2026-07-07T02:00:58Z,up,200,0.162399,up,200,0.169687
2026-07-07T02:30:57Z,up,200,0.086159,up,200,0.100536
2026-07-07T02:33:31Z,up,200,0.068491,up,200,0.069610
2026-07-07T03:00:53Z,up,200,0.078758,up,200,0.077018
2026-07-07T03:30:52Z,up,200,0.088443,up,200,0.115379
2026-07-07T04:00:55Z,up,200,0.080140,up,200,0.124119
2026-07-07T04:30:55Z,up,200,0.069535,up,200,0.075489
2026-07-07T05:00:58Z,up,200,0.109575,up,200,0.136939
2026-07-07T05:30:52Z,up,200,0.064435,up,200,0.070883
2026-07-07T06:00:49Z,up,200,0.072681,up,200,0.068331
2026-07-07T06:30:48Z,up,200,0.101207,up,200,0.095114
2026-07-07T06:40:47Z,up,200,0.120052,up,200,0.106927
2026-07-07T07:00:15Z,up,200,0.106403,up,200,0.100757
2026-07-07T07:30:19Z,up,200,0.139443,up,200,0.125513
2026-07-07T08:00:13Z,up,200,0.088753,up,200,0.097615
2026-07-07T08:30:12Z,up,200,0.077147,up,200,0.076138
2026-07-07T09:00:14Z,up,200,0.065899,up,200,0.063891
2026-07-07T09:30:15Z,up,200,0.160579,up,200,0.070418
2026-07-07T10:00:15Z,up,200,0.064206,up,200,0.067178
2026-07-07T10:21:29Z,up,200,0.070698,up,200,0.080237
2026-07-07T10:30:13Z,up,200,0.066338,up,200,0.068786
2026-07-07T11:00:13Z,up,200,0.083071,up,200,0.069403
2026-07-07T11:30:18Z,up,200,0.107053,up,200,0.096923
2026-07-07T12:00:15Z,up,200,0.129791,up,200,0.105991
2026-07-07T12:30:16Z,up,200,0.061146,up,200,0.065922
2026-07-07T13:00:15Z,up,200,0.240246,up,200,0.074961
2026-07-07T13:14:21Z,up,200,0.092044,up,200,0.069753
2026-07-07T13:30:13Z,up,200,0.087116,up,200,0.077253
2026-07-07T14:00:18Z,up,200,0.097434,up,200,0.085766
2026-07-07T14:30:19Z,up,200,0.075473,up,200,0.067187
2026-07-07T15:00:18Z,up,200,0.089757,up,200,0.100026
2026-07-07T15:30:17Z,up,200,0.080344,up,200,0.102322
2026-07-07T16:00:15Z,up,200,0.084940,up,200,0.079184
2026-07-07T16:24:30Z,up,200,0.100533,up,200,0.130605
